,state,division_name,polling_place_name,premises_suburb,latitude,longitude,geom
879,NSW,Farrer,Tooleybuc,TOOLEYBUC,-35.0269,143.338,POINT (-35.0269 143.338)
880,NSW,Farrer,Urana,URANA,-35.3279,146.267,POINT (-35.3279 146.267)
881,NSW,Farrer,Wakool,WAKOOL,-35.4669,144.393,POINT (-35.4669 144.393)
882,NSW,Farrer,Walbundrie,WALBUNDRIE,-35.6875394,146.7262383,POINT (-35.6875394 146.7262383)
883,NSW,Farrer,Walla Walla,WALLA WALLA,-35.7591,146.902,POINT (-35.7591 146.902)
884,NSW,Farrer,Wamoon,WAMOON,-34.5259,146.331,POINT (-34.5259 146.331)
885,NSW,Farrer,Wentworth,WENTWORTH,-34.103,141.919,POINT (-34.103 141.919)
886,NSW,Farrer,Whitton,WHITTON,-34.5193,146.181,POINT (-34.5193 146.181)
887,NSW,Farrer,Yanco,YANCO,-34.5983611,146.4115042,POINT (-34.5983611 146.4115042)
888,NSW,Farrer,Yenda,YENDA,-34.252889,146.1978579,POINT (-34.252889 146.1978579)
889,NSW,Farrer,Yoogali,YOOGALI,-34.2999,146.086,POINT (-34.2999 146.086)
890,NSW,Fowler,Abbotsbury,ABBOTSBURY,-33.8692425,150.8695253,POINT (-33.8692425 150.8695253)
891,NSW,Fowler,BLV Fowler PPVC,PARRAMATTA,-33.8149731,151.0063857,POINT (-33.8149731 151.0063857)
892,NSW,Fowler,Bonnyrigg (Fowler),BONNYRIGG,-33.8884,150.888,POINT (-33.8884 150.888)
894,NSW,Fowler,Bonnyrigg Central (Fowler),BONNYRIGG,-33.8946581,150.8918914,POINT (-33.8946581 150.8918914)
895,NSW,Fowler,Bossley Park,BOSSLEY PARK,-33.8594,150.883,POINT (-33.8594 150.883)
896,NSW,Fowler,Bossley Park East,BOSSLEY PARK,-33.867,150.89,POINT (-33.867 150.89)
897,NSW,Fowler,Bossley Park South,BOSSLEY PARK,-33.871,150.874,POINT (-33.871 150.874)
898,NSW,Fowler,Cabramatta,CABRAMATTA,-33.8921185,150.9392877,POINT (-33.8921185 150.9392877)
899,NSW,Fowler,Cabramatta East,CABRAMATTA,-33.8954,150.942,POINT (-33.8954 150.942)
900,NSW,Fowler,Cabramatta South,CABRAMATTA,-33.8989,150.929,POINT (-33.8989 150.929)
901,NSW,Fowler,Cabramatta West,CABRAMATTA,-33.8967685,150.9229637,POINT (-33.8967685 150.9229637)
902,NSW,Fowler,Cabramatta West Central,CABRAMATTA WEST,-33.8897,150.908,POINT (-33.8897 150.908)
903,NSW,Fowler,Canley Heights,CANLEY HEIGHTS,-33.884,150.923,POINT (-33.884 150.923)
904,NSW,Fowler,Canley Vale,CANLEY VALE,-33.8866,150.937,POINT (-33.8866 150.937)
905,NSW,Fowler,Chipping Norton,CHIPPING NORTON,-33.9120311,150.9598224,POINT (-33.9120311 150.9598224)
906,NSW,Fowler,Divisional Office (PREPOLL),PARRAMATTA,-33.8149755,151.0063881,POINT (-33.8149755 151.0063881)
